Unnamed: 0,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,374372,272583,303954,390823,568337,596679,466307,694673,876396,899041,962820,1057219
Expenses +,336923,230802,257647,326508,484087,507413,385517,586092,734078,736543,797222,878270
Operating Profit,37449,41781,46307,64315,84250,89266,80790,108581,142318,162498,165598,178949
OPM %,10%,15%,15%,16%,15%,15%,17%,16%,16%,18%,17%,17%
Other Income +,8528,12212,9222,9869,8406,8570,22432,19600,12020,15792,17824,28962
Interest,3316,3691,3849,8052,16495,22027,21189,14584,19571,23118,24269,27061
Depreciation,11547,11565,11646,16706,20934,22203,26572,29782,40303,50832,53136,57688
Profit before tax,31114,38737,40034,49426,55227,53606,55461,83815,94464,104340,106017,123162
Tax %,24%,23%,25%,27%,28%,26%,3%,19%,22%,25%,24%,22%
Net Profit +,23640,29861,29833,36080,39837,39880,53739,67845,74088,79020,81309,95754
EPS in Rs,17.07,21.51,21.55,26.69,29.28,29.10,38.75,44.87,49.29,51.45,51.47,59.69
Dividend Payout %,12%,10%,11%,10%,10%,10%,9%,9%,9%,10%,11%,10%
