Unnamed: 0,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,212834,207559,231886,225086,236533,231784,231535,239986,261388,243632,254623,264905,294059
Expenses +,174478,169466,190918,184430,194017,193019,192477,196197,217556,200727,208738,218887,249918
Operating Profit,38356,38093,40968,40656,42516,38765,39058,43789,43832,42905,45885,46018,44141
OPM %,18%,18%,18%,18%,18%,17%,17%,18%,17%,18%,18%,17%,15%
Other Income +,2996,3813,3841,3869,4534,3983,4876,4214,4905,15119,4482,4914,4447
Interest,5819,5837,5731,5789,5761,5918,6017,6179,6155,7036,6827,6613,6585
Depreciation,11452,11775,12585,12903,13569,13596,12880,13181,13479,13842,14416,14622,14808
Profit before tax,24081,24294,26493,25833,27720,23234,25037,28643,29103,37146,29124,29697,27195
Tax %,11%,25%,25%,25%,24%,25%,24%,24%,23%,17%,24%,25%,24%
Net Profit +,21327,18258,19878,19641,21243,17445,19323,21930,22611,30783,22092,22290,20589
EPS in Rs,14.26,11.83,12.85,12.76,14.01,11.19,12.24,13.70,14.34,19.95,13.42,13.78,12.54
Raw PDF,,,,,,,,,,,,,
